age,job,marital,education,default,housing,loan,contact,trimestre,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,others,0,1,0,0,0,0,1,0,261,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,others,0,2,1,0,0,0,1,0,149,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,others,0,2,0,1,0,0,1,0,226,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,admin.,0,1,0,0,0,0,1,0,151,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,2,0,0,1,0,1,0,307,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,1,1,0,0,0,1,0,198,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,admin.,0,3,0,0,0,0,1,0,139,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,0,1,0,0,0,1,0,217,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
24,others,1,3,0,1,0,0,1,0,380,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
25,others,1,2,0,1,0,0,1,0,50,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,0,1,0,0,0,1,0,55,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
25,others,1,2,0,1,0,0,1,0,222,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
29,others,1,2,0,0,1,0,1,0,137,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,others,0,1,0,1,0,0,1,0,293,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,others,0,1,0,1,0,0,1,0,146,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,retired,0,1,1,1,1,0,1,0,174,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,others,0,1,0,1,0,0,1,0,312,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,others,0,1,1,1,1,0,1,0,440,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,others,0,1,0,1,1,0,1,0,353,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,1,1,1,0,0,0,1,0,195,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
30,others,0,2,0,0,0,0,1,0,38,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,1,1,1,0,0,1,0,262,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,retired,1,2,0,1,0,0,1,0,342,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,1,2,0,1,0,0,1,0,181,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,admin.,0,2,0,1,0,0,1,0,172,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,others,0,4,0,0,1,0,1,0,99,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,others,0,0,0,1,0,0,1,0,93,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,1,1,0,0,0,1,0,233,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,1,4,1,0,0,0,1,0,255,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,4,1,0,1,0,1,0,362,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
46,admin.,0,0,0,0,0,0,1,0,348,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,others,0,0,0,1,0,0,1,0,386,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,others,0,0,0,0,0,0,1,0,73,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,0,1,1,1,0,0,1,0,230,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,others,0,1,0,0,0,0,1,0,208,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,1,1,1,0,0,1,0,336,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
34,others,0,2,0,0,0,0,1,0,365,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
52,others,0,1,0,1,0,0,1,0,1666,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,admin.,0,4,0,1,0,0,1,0,577,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,others,0,1,0,1,0,0,1,0,137,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
58,others,1,4,0,1,0,0,1,0,366,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
32,others,0,2,0,1,0,0,1,0,314,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,admin.,1,3,0,0,0,0,1,0,160,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,admin.,0,4,0,0,1,0,1,0,212,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,admin.,0,4,1,1,0,0,1,0,188,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,1,3,1,0,0,0,1,0,22,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,admin.,0,4,0,1,1,0,1,0,616,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,others,0,1,0,0,1,0,1,0,178,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,0,4,0,1,0,0,1,0,355,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,1,0,1,0,0,1,0,225,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
54,admin.,0,2,0,0,0,0,1,0,160,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,others,0,1,0,0,1,0,1,0,266,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
60,admin.,0,2,0,0,0,0,1,0,253,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
53,admin.,1,3,0,0,0,0,1,0,179,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,1,1,0,0,0,1,0,269,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,3,1,1,0,0,1,0,135,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,others,0,4,1,0,1,0,1,0,161,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,2,1,1,0,0,1,0,787,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,3,1,1,1,0,1,0,145,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
25,others,1,4,0,1,0,0,1,0,174,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
47,others,0,4,1,0,0,0,1,0,449,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,1,0,1,0,0,1,0,812,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,1,1,0,0,1,0,164,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,1,0,0,0,1,0,366,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
48,admin.,0,2,0,0,0,0,1,0,357,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,admin.,0,4,0,0,0,0,1,0,232,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,others,1,1,0,1,0,0,1,0,91,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,admin.,0,0,0,1,0,0,1,0,273,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
56,admin.,0,1,0,1,0,0,1,0,158,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,others,1,1,1,1,1,0,1,0,177,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,1,0,0,0,0,1,0,200,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,others,0,4,0,1,0,0,1,0,172,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
47,admin.,0,4,1,1,0,0,1,0,176,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,others,0,0,1,0,0,0,1,0,211,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
37,admin.,0,4,1,1,0,0,1,0,214,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,1,1,1,0,0,1,0,1575,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,1
55,others,0,4,0,0,0,0,1,0,349,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,others,0,2,1,1,0,0,1,0,337,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
55,others,0,0,1,1,0,0,1,0,272,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,1,0,0,0,1,0,208,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
50,others,0,1,1,1,0,0,1,0,193,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
51,others,0,1,1,0,1,0,1,0,212,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
38,admin.,0,2,1,0,0,0,1,0,165,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,others,0,4,1,1,0,0,1,0,1042,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,1
38,others,1,4,0,0,1,0,1,0,20,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
31,admin.,0,2,0,0,0,0,1,0,246,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
41,others,0,1,0,0,0,0,1,0,529,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
39,admin.,0,4,0,1,1,0,1,0,192,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
49,others,0,1,0,0,0,0,1,0,1467,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,1
34,admin.,0,2,0,1,0,0,1,0,188,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
35,admin.,0,4,0,1,0,0,1,0,180,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
57,others,0,0,1,1,0,0,1,0,48,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
60,admin.,0,0,1,0,1,0,1,0,213,2,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
33,others,0,1,0,0,0,0,1,0,545,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,1,0,0,1,0,1,0,583,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
45,others,0,3,0,1,0,0,1,0,221,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,others,0,4,0,0,0,0,1,0,426,1,3,0,0,1.1,93.994,-36.4,4.857,5191.0,0
